category,model,n_prompts,n_completions,n_hallucination,rate_completion_level,wilson_lo,wilson_hi,mean_p_hat_over_prompts,prompt_bootstrap_lo,prompt_bootstrap_hi,mean_refusal_rate
ambiguous,llama-3.3-70b-turbo,120,2400,4,0.0016666666666666668,0.0006483190710393717,0.00427773741960101,0.0016666666666666668,0.0,0.004166666666666667,0.0008333333333333334
ambiguous,gpt-oss-120b,120,2399,8,0.003334722801167153,0.0016907230250927385,0.0065667750915047,0.0033333333333333335,0.0004166666666666667,0.007500000000000001,0.012083333333333335
borderline_edge_factual,llama-3.3-70b-turbo,5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,0.0,0.0
borderline_edge_factual,gpt-oss-120b,5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.0,0.0,0.0
borderline_obscure_real,llama-3.3-70b-turbo,162,3240,211,0.06512345679012346,0.05713174458293751,0.0741451578879711,0.06512345679012346,0.041967592592592584,0.09290123456790123,0.006481481481481482
borderline_obscure_real,gpt-oss-120b,162,3239,286,0.08829885767212102,0.07900900949295006,0.09856410536111598,0.0883203378817414,0.05648148148148149,0.123460445094217,0.00030864197530864197
borderline_plausible_fake,llama-3.3-70b-turbo,169,3380,719,0.21272189349112425,0.1992557848109496,0.2268402590986228,0.21272189349112428,0.1633062130177515,0.26658284023668627,0.008875739644970414
borderline_plausible_fake,gpt-oss-120b,169,3379,2194,0.6493045279668541,0.6330536986968467,0.665216265261722,0.6492058548738711,0.5975140143257552,0.7003916225474929,0.004142011834319527
factual,llama-3.3-70b-turbo,98,1960,38,0.019387755102040816,0.014157558713343616,0.026498197107515616,0.019387755102040816,0.0015306122448979593,0.044387755102040814,0.0857142857142857
factual,gpt-oss-120b,98,1960,16,0.00816326530612245,0.005031036075970193,0.013219652471066221,0.00816326530612245,0.002551020408163265,0.015306122448979591,0.05663265306122449
impossible,llama-3.3-70b-turbo,30,600,14,0.023333333333333334,0.01394915794810269,0.03878233035162532,0.02333333333333333,0.0,0.05674999999999955,0.0
impossible,gpt-oss-120b,30,600,4,0.006666666666666667,0.0025955012515148645,0.017014710415336507,0.006666666666666667,0.0,0.020000000000000004,0.13666666666666666
nonexistent,llama-3.3-70b-turbo,120,2400,200,0.08333333333333333,0.07293046467285302,0.09506791031932121,0.08333333333333333,0.04458333333333333,0.13125,0.0008333333333333334
nonexistent,gpt-oss-120b,120,2400,856,0.3566666666666667,0.3377454224837743,0.37604601851353364,0.35666666666666663,0.29165625,0.4266666666666667,0.004166666666666667
