uid,model,category,source,k_eff,n_hallucination,n_partial,n_refusal,n_correct,p_hat,p_hat_partial_half,p_hat_partial_full,refusal_rate,k_half_even,k_half_odd,n_hall_even,n_hall_odd,p_hat_even,p_hat_odd,n_partial_even,n_partial_odd,n_truncated,mean_output_tokens,median_output_tokens
v3:ambiguous_001,gpt-oss-120b,ambiguous,v3,20,1,4,0,15,0.05,0.15,0.25,0.0,10,10,0,1,0.0,0.1,2,2,9,1883.25,1982.5
v3:ambiguous_001,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,602.8,603.5
v3:ambiguous_002,gpt-oss-120b,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,210.65,188.5
v3:ambiguous_002,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,260.2,244.0
v3:ambiguous_003,gpt-oss-120b,ambiguous,v3,20,0,2,0,18,0.0,0.05,0.1,0.0,10,10,0,0,0.0,0.0,1,1,20,2048.0,2048.0
v3:ambiguous_003,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,589.75,601.0
v3:ambiguous_004,gpt-oss-120b,ambiguous,v3,20,0,1,0,19,0.0,0.025,0.05,0.0,10,10,0,0,0.0,0.0,0,1,1,1052.1,1336.0
v3:ambiguous_004,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,264.9,329.0
v3:ambiguous_005,gpt-oss-120b,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,1324.65,1337.0
v3:ambiguous_005,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,408.6,412.0
v3:ambiguous_006,gpt-oss-120b,ambiguous,v3,20,0,9,0,11,0.0,0.225,0.45,0.0,10,10,0,0,0.0,0.0,3,6,20,2048.0,2048.0
v3:ambiguous_006,llama-3.3-70b-turbo,ambiguous,v3,20,2,12,0,6,0.1,0.4,0.7,0.0,10,10,1,1,0.1,0.1,6,6,0,720.9,723.0
v3:ambiguous_007,gpt-oss-120b,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,228.0,223.5
v3:ambiguous_007,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,495.3,491.0
v3:ambiguous_008,gpt-oss-120b,ambiguous,v3,20,0,0,4,16,0.0,0.0,0.0,0.2,10,10,0,0,0.0,0.0,0,0,0,567.3,317.5
v3:ambiguous_008,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,174.2,135.5
v3:ambiguous_009,gpt-oss-120b,ambiguous,v3,20,0,4,0,16,0.0,0.1,0.2,0.0,10,10,0,0,0.0,0.0,1,3,14,2000.35,2048.0
v3:ambiguous_009,llama-3.3-70b-turbo,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,562.35,561.5
v3:ambiguous_010,gpt-oss-120b,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,0,197.5,196.5
v3:ambiguous_010,llama-3.3-70b-turbo,ambiguous,v3,20,0,1,0,19,0.0,0.025,0.05,0.0,10,10,0,0,0.0,0.0,0,1,0,113.1,82.5
v3:ambiguous_011,gpt-oss-120b,ambiguous,v3,20,0,0,0,20,0.0,0.0,0.0,0.0,10,10,0,0,0.0,0.0,0,0,1,1728.4,1686.0
