entity,subset,n_primary_prompts,mean_p_hat_llama,mean_p_hat_gptoss,model_gap,risk_flags,impact,verdict,note,uids
Sir William Pemberton,people,5,0.0,0.6,0.6,UNVERIFIABLE-AS-FAKE: human name,3.0,,,pool:borderline_fake_24 pool:borderline_fake_59 pool:borderline_fake_83 v3:borderline_fake_16 v3:borderline_fake_27
The Fractured Timeline,books,3,0.017,0.883,0.867,HIGH-RISK: short title,2.6,,,pool:borderline_fake_113 pool:borderline_fake_75 v3:borderline_fake_34
Dust Behind the Kilns at Verstrom,books,3,0.0,0.783,0.783,,2.35,,,pool:borderline_fake_134 pool:borderline_fake_34 pool:borderline_fake_40
Echoes of the Forgotten,books,6,0.325,0.7,0.375,HIGH-RISK: short title,2.25,,,pool:borderline_fake_1 pool:borderline_fake_10 pool:borderline_fake_100 pool:borderline_fake_7 v3:borderline_fake_13 v3:borderline_fake_14
Greyvane,places,3,0.0,0.733,0.733,HIGH-RISK: short toponym,2.2,,,pool:borderline_fake_111 pool:borderline_fake_120 pool:borderline_fake_2
Dr. Robert Mackenzie,people,5,0.03,0.46,0.43,UNVERIFIABLE-AS-FAKE: human name,2.15,,,pool:borderline_fake_109 pool:borderline_fake_3 pool:borderline_fake_88 v3:borderline_fake_3 v3:borderline_fake_6
The River Keeps Its Secrets,books,2,0.0,1.0,1.0,HIGH-RISK: short title,2.0,,,pool:borderline_fake_81 pool:borderline_fake_92
The Papered Vault: Marginal Notes from Druthel's Collection,books,2,0.0,0.975,0.975,,1.95,,,pool:borderline_fake_116 pool:borderline_fake_131
The Fallow Years at Ash-on-Myrtle,books,2,0.0,0.925,0.925,HIGH-RISK: short title,1.85,,,pool:borderline_fake_31 pool:borderline_fake_42
Dr. Astrid Thorgeirsdottir,people,2,0.025,0.825,0.8,UNVERIFIABLE-AS-FAKE: human name,1.6,,,pool:borderline_fake_65 pool:borderline_fake_80
The Lintel Above the Dovecote: Structural Ornament in Flemish Villages,books,2,0.125,0.925,0.8,,1.6,,,pool:borderline_fake_84 pool:borderline_fake_95
Glenwick,places,2,0.05,0.825,0.775,HIGH-RISK: short toponym,1.55,,,pool:borderline_fake_61 pool:borderline_fake_67
Thornbury Valley,places,3,0.433,0.95,0.517,HIGH-RISK: short toponym,1.55,,,pool:borderline_fake_5 v3:borderline_fake_23 v3:borderline_fake_29
Mount Caldwell,places,3,0.317,0.817,0.5,HIGH-RISK: short toponym,1.5,,,pool:borderline_fake_117 pool:borderline_fake_43 v3:borderline_fake_19
Ambassador Tariq Moussa,people,2,0.025,0.7,0.675,UNVERIFIABLE-AS-FAKE: human name,1.35,,,pool:borderline_fake_112 pool:borderline_fake_12
Whispers in the Archive,books,5,0.31,0.57,0.26,HIGH-RISK: short title,1.3,,,pool:borderline_fake_148 pool:borderline_fake_19 pool:borderline_fake_25 pool:borderline_fake_86 v3:borderline_fake_24
