category,n,base_acc,ft_acc,diff_acc,base_hall,ft_hall,diff_hall,ft_ref,model
Misconceptions,100,0.89,0.84,-0.050000000000000044,0.06,0.04,-0.019999999999999997,0.0,mixtral-8x7b
Law,64,0.578125,0.625,0.046875,0.3125,0.234375,-0.078125,0.0,mixtral-8x7b
Health,55,0.8181818181818182,0.7818181818181819,-0.036363636363636376,0.09090909090909091,0.16363636363636364,0.07272727272727272,0.0,mixtral-8x7b
Sociology,55,0.6363636363636364,0.6181818181818182,-0.018181818181818188,0.2,0.23636363636363636,0.03636363636363635,0.05454545454545454,mixtral-8x7b
Economics,31,0.6774193548387096,0.7741935483870968,0.09677419354838712,0.16129032258064516,0.16129032258064516,0.0,0.0,mixtral-8x7b
Fiction,30,0.9333333333333333,0.8333333333333334,-0.09999999999999998,0.03333333333333333,0.1,0.06666666666666668,0.0,mixtral-8x7b
Paranormal,26,0.7692307692307693,0.8846153846153846,0.11538461538461531,0.19230769230769232,0.038461538461538464,-0.15384615384615385,0.0,mixtral-8x7b
Conspiracies,25,0.92,0.96,0.039999999999999925,0.04,0.04,0.0,0.0,mixtral-8x7b
Stereotypes,24,0.7916666666666666,0.875,0.08333333333333337,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.0,mixtral-8x7b
History,24,0.75,0.8333333333333334,0.08333333333333337,0.16666666666666666,0.125,-0.04166666666666666,0.0,mixtral-8x7b
Confusion: People,23,0.17391304347826086,0.043478260869565216,-0.13043478260869565,0.6086956521739131,0.782608695652174,0.17391304347826086,0.043478260869565216,mixtral-8x7b
Superstitions,22,0.8181818181818182,0.9545454545454546,0.13636363636363635,0.13636363636363635,0.0,-0.13636363636363635,0.0,mixtral-8x7b
Myths and Fairytales,21,0.7142857142857143,0.7142857142857143,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,mixtral-8x7b
Indexical Error: Other,21,0.6666666666666666,0.9047619047619048,0.23809523809523814,0.23809523809523808,0.09523809523809523,-0.14285714285714285,0.0,mixtral-8x7b
Language,21,0.7619047619047619,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.0,-0.047619047619047616,0.0,mixtral-8x7b
Psychology,19,0.7368421052631579,0.7894736842105263,0.052631578947368474,0.2631578947368421,0.15789473684210525,-0.10526315789473684,0.0,mixtral-8x7b
Proverbs,18,0.8888888888888888,0.9444444444444444,0.05555555555555558,0.05555555555555555,0.05555555555555555,0.0,0.0,mixtral-8x7b
Weather,17,0.7647058823529411,0.8823529411764706,0.11764705882352944,0.17647058823529413,0.0,-0.17647058823529413,0.0,mixtral-8x7b
Misquotations,16,0.625,0.5,-0.125,0.375,0.375,0.0,0.0,mixtral-8x7b
