model_name,prefix_key,category,n_prompts,correct_rate,hallucination_rate,refusal_rate
llama-4-maverick-17b,cot_verification,ambiguous,120.0,0.9916666666666667,0.0,0.0
llama-4-maverick-17b,cot_verification,borderline_edge_factual,20.0,1.0,0.0,0.0
llama-4-maverick-17b,cot_verification,borderline_obscure_real,30.0,0.9666666666666667,0.03333333333333333,0.0
llama-4-maverick-17b,cot_verification,borderline_plausible_fake,31.0,0.7741935483870968,0.22580645161290322,0.0
llama-4-maverick-17b,cot_verification,factual,98.0,0.8469387755102041,0.0,0.030612244897959183
llama-4-maverick-17b,cot_verification,impossible,30.0,1.0,0.0,0.0
llama-4-maverick-17b,cot_verification,nonexistent,120.0,0.9583333333333334,0.041666666666666664,0.0
llama-4-maverick-17b,entity_aware,ambiguous,120.0,1.0,0.0,0.0
llama-4-maverick-17b,entity_aware,borderline_edge_factual,20.0,1.0,0.0,0.0
llama-4-maverick-17b,entity_aware,borderline_obscure_real,30.0,0.9333333333333333,0.06666666666666667,0.0
llama-4-maverick-17b,entity_aware,borderline_plausible_fake,31.0,0.8064516129032258,0.1935483870967742,0.0
llama-4-maverick-17b,entity_aware,factual,98.0,0.8367346938775511,0.0,0.02040816326530612
llama-4-maverick-17b,entity_aware,impossible,30.0,1.0,0.0,0.0
llama-4-maverick-17b,entity_aware,nonexistent,120.0,0.975,0.025,0.0
llama-4-maverick-17b,epistemic_humility,ambiguous,120.0,1.0,0.0,0.0
llama-4-maverick-17b,epistemic_humility,borderline_edge_factual,20.0,1.0,0.0,0.0
llama-4-maverick-17b,epistemic_humility,borderline_obscure_real,30.0,0.8666666666666667,0.0,0.03333333333333333
llama-4-maverick-17b,epistemic_humility,borderline_plausible_fake,31.0,0.8064516129032258,0.1935483870967742,0.0
llama-4-maverick-17b,epistemic_humility,factual,98.0,0.8673469387755102,0.0,0.01020408163265306
llama-4-maverick-17b,epistemic_humility,impossible,30.0,0.9333333333333333,0.0,0.03333333333333333
llama-4-maverick-17b,epistemic_humility,nonexistent,120.0,0.9583333333333334,0.016666666666666666,0.025
llama-4-maverick-17b,fact_grounded,ambiguous,120.0,1.0,0.0,0.0
llama-4-maverick-17b,fact_grounded,borderline_edge_factual,20.0,1.0,0.0,0.0
llama-4-maverick-17b,fact_grounded,borderline_obscure_real,30.0,0.8333333333333334,0.0,0.16666666666666666
llama-4-maverick-17b,fact_grounded,borderline_plausible_fake,31.0,0.7419354838709677,0.0967741935483871,0.16129032258064516
llama-4-maverick-17b,fact_grounded,factual,98.0,0.7959183673469388,0.0,0.19387755102040816
llama-4-maverick-17b,fact_grounded,impossible,30.0,0.9666666666666667,0.0,0.03333333333333333
llama-4-maverick-17b,fact_grounded,nonexistent,120.0,0.9833333333333333,0.008333333333333333,0.008333333333333333
llama-4-maverick-17b,structured_caution,ambiguous,120.0,0.9916666666666667,0.0,0.008333333333333333
llama-4-maverick-17b,structured_caution,borderline_edge_factual,20.0,1.0,0.0,0.0
llama-4-maverick-17b,structured_caution,borderline_obscure_real,30.0,0.8666666666666667,0.0,0.13333333333333333
llama-4-maverick-17b,structured_caution,borderline_plausible_fake,31.0,0.7741935483870968,0.03225806451612903,0.1935483870967742
llama-4-maverick-17b,structured_caution,factual,98.0,0.8673469387755102,0.0,0.12244897959183673
llama-4-maverick-17b,structured_caution,impossible,30.0,0.9,0.0,0.1
llama-4-maverick-17b,structured_caution,nonexistent,120.0,0.9833333333333333,0.008333333333333333,0.008333333333333333
mixtral-8x7b,cot_verification,ambiguous,120.0,1.0,0.0,0.0
mixtral-8x7b,cot_verification,borderline_edge_factual,20.0,1.0,0.0,0.0
mixtral-8x7b,cot_verification,borderline_obscure_real,30.0,0.7333333333333333,0.0,0.23333333333333334
mixtral-8x7b,cot_verification,borderline_plausible_fake,31.0,0.45161290322580644,0.3225806451612903,0.22580645161290322
mixtral-8x7b,cot_verification,factual,98.0,0.7551020408163265,0.02040816326530612,0.17346938775510204
mixtral-8x7b,cot_verification,impossible,30.0,1.0,0.0,0.0
mixtral-8x7b,cot_verification,nonexistent,120.0,0.875,0.075,0.05
mixtral-8x7b,entity_aware,ambiguous,120.0,1.0,0.0,0.0
mixtral-8x7b,entity_aware,borderline_edge_factual,20.0,1.0,0.0,0.0
mixtral-8x7b,entity_aware,borderline_obscure_real,30.0,0.8,0.0,0.2
mixtral-8x7b,entity_aware,borderline_plausible_fake,31.0,0.8709677419354839,0.06451612903225806,0.06451612903225806
mixtral-8x7b,entity_aware,factual,98.0,0.7142857142857143,0.0,0.24489795918367346
mixtral-8x7b,entity_aware,impossible,30.0,1.0,0.0,0.0
mixtral-8x7b,entity_aware,nonexistent,120.0,0.9833333333333333,0.008333333333333333,0.008333333333333333
mixtral-8x7b,epistemic_humility,ambiguous,120.0,1.0,0.0,0.0
mixtral-8x7b,epistemic_humility,borderline_edge_factual,20.0,1.0,0.0,0.0
mixtral-8x7b,epistemic_humility,borderline_obscure_real,30.0,0.8,0.0,0.1
mixtral-8x7b,epistemic_humility,borderline_plausible_fake,31.0,0.6451612903225806,0.12903225806451613,0.1935483870967742
