id,model,prefix,baseline_label,prefix_label,outcome,curvature_score,oppositeness_score,density,centrality
borderline_obscure_0,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_2,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_3,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_4,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_5,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_6,mixtral-8x7b,cot_verification,1,0,other,,,,
borderline_obscure_8,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_9,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_10,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_12,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_14,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_15,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_16,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_17,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_obscure_18,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_19,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_20,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_21,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_obscure_22,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_23,mixtral-8x7b,cot_verification,1,3,other,,,,
borderline_obscure_24,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_obscure_25,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_26,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_27,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_obscure_28,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_29,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_30,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_obscure_31,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_obscure_32,mixtral-8x7b,cot_verification,0,1,already_correct,,,,
borderline_obscure_34,mixtral-8x7b,cot_verification,1,3,other,,,,
borderline_fake_0,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_2,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_3,mixtral-8x7b,cot_verification,0,2,regressed,,,,
borderline_fake_4,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_5,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_fake_6,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_7,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_8,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_fake_9,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_10,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_fake_11,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_12,mixtral-8x7b,cot_verification,0,2,regressed,,,,
borderline_fake_13,mixtral-8x7b,cot_verification,2,2,still_broken,,,,
borderline_fake_14,mixtral-8x7b,cot_verification,0,2,regressed,,,,
borderline_fake_15,mixtral-8x7b,cot_verification,2,3,fixed,,,,
borderline_fake_16,mixtral-8x7b,cot_verification,2,3,fixed,,,,
borderline_fake_17,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_19,mixtral-8x7b,cot_verification,0,3,already_correct,,,,
borderline_fake_20,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_21,mixtral-8x7b,cot_verification,1,0,other,,,,
borderline_fake_22,mixtral-8x7b,cot_verification,0,2,regressed,,,,
