id,model,config,category,baseline_label,ft_label,outcome,curvature_score,oppositeness_score,density,centrality
ambiguous_001,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.0,0.4156342885356943,1.565089779161521,0.6943067987160128
ambiguous_002,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.2431399074998297,0.3914657894178452,1.5494188584948605,0.6474066608678708
ambiguous_003,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.3769458489107324,0.5415378481426214,1.7437902048922571,0.6138856797792848
ambiguous_004,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.4330116608299781,0.5983200930324122,2.0226340416216866,0.4898837439065977
ambiguous_005,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.3310680273997213,0.4151787544611629,1.5339574399186924,0.6081579371302618
ambiguous_006,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.1413138809201515,0.5141315589513105,1.7204687480456802,0.6028643784035935
ambiguous_007,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.4005484034250958,0.4153020430058195,1.797933871847539,0.510114834897196
ambiguous_008,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.0153495985523701,0.5978762087457399,1.673835607493561,0.5807672954556702
ambiguous_009,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.810222294169754,0.5410302434355854,2.5114981967544985,0.6306374868991557
ambiguous_010,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.1941574077076364,0.5191446546654289,1.494546629275374,0.6113482477448922
ambiguous_011,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.5995234990144458,0.4749422283035994,2.122441373264552,0.6553088670603009
ambiguous_012,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.1218321477843052,0.5307091580913543,1.8939818832179185,0.6585438843052543
ambiguous_013,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.7724038517771424,0.4434851566602525,1.9462265891593495,0.6229171077909272
ambiguous_014,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.6877869638338374,0.3406184786625097,1.6801685806586029,0.5598087171451318
ambiguous_015,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.074882656183935,0.5403786977350308,2.4801267596860943,0.6049597616493123
ambiguous_016,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.3069413007184477,0.505434350708284,1.6664480364598728,0.6475945771235175
ambiguous_017,mixtral-8x7b,C,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.6441140285314355,1.7388711806095023,0.5973611560236411
ambiguous_018,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.1665066991134516,0.5751745627456685,2.305337895685948,0.5956230372096071
ambiguous_019,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.6400820383970782,0.5592930588133187,1.9712885429724083,0.6716728168110198
ambiguous_020,mixtral-8x7b,C,ambiguous,0,0,always_correct,0.8702335599916571,0.4757864196380714,1.6218106379540818,0.6132351198139129
