analysis,model,comparison,feature,group_a,group_b,mean_a,mean_b,n_a,n_b,u_stat,p_mw,p_perm,effect_r,p_bonferroni,p_bh_fdr
12A.1,mixtral-8x7b,fixed_vs_still_broken,curvature_score,fixed_by_ft,still_broken,0.3127499247241328,0.5872479378621992,47,6,76.0,0.0700969066291469,0.0247,0.46099290780141844,1.0,0.2803876265165876
12A.1,mixtral-8x7b,fixed_vs_still_broken,density,fixed_by_ft,still_broken,1.9503370052732634,1.4814872068658216,47,6,253.5,0.001666000820569406,0.0026,-0.7978723404255319,0.039984019693665745,0.019992009846832873
12A.1,mixtral-8x7b,fixed_vs_still_broken,centrality,fixed_by_ft,still_broken,0.6535529257276501,0.7769341528948397,47,6,22.5,0.0009245587979362187,0.0002,0.8404255319148937,0.02218941115046925,0.019992009846832873
12A.1,mixtral-8x7b,broken_vs_correct,curvature_score,broken_by_ft,always_correct,0.4284529616900141,0.37937084727402964,6,366,1186.0,0.7376449656517483,0.6813,-0.08014571948998173,1.0,0.7376449656517483
12A.1,mixtral-8x7b,broken_vs_correct,density,broken_by_ft,always_correct,1.5481930230741607,1.8800195058988975,6,366,608.0,0.06098765146408575,0.0665,0.44626593806921677,1.0,0.2803876265165876
12A.1,mixtral-8x7b,broken_vs_correct,centrality,broken_by_ft,always_correct,0.6890912872420789,0.6793518108614239,6,366,1218.0,0.6473892845300606,0.7834,-0.1092896174863387,1.0,0.7062428558509752
12A.1_unstable,mixtral-8x7b,fixed_vs_still_broken,oppositeness_score,fixed,still_broken,0.5259468658825283,0.4022559643047463,47,6,215.5,0.03776927222923641,,-0.5283687943262412,,
12A.1_unstable,mixtral-8x7b,broken_vs_correct,oppositeness_score,broken_by_ft,always_correct,0.49047452037865574,0.488464114025466,6,366,961.0,0.6013498364704806,,0.12477231329690341,,
12A.1,llama-4-maverick-17b,fixed_vs_still_broken,curvature_score,fixed_by_ft,still_broken,0.43262440733449853,0.28348843506600946,17,9,101.0,0.19514160512266387,0.3113,-0.3202614379084967,1.0,0.39028321024532775
12A.1,llama-4-maverick-17b,fixed_vs_still_broken,density,fixed_by_ft,still_broken,1.738211567790861,1.557602218208326,17,9,119.0,0.023594675401788424,0.2135,-0.5555555555555556,0.5662722096429222,0.18875740321430742
12A.1,llama-4-maverick-17b,fixed_vs_still_broken,centrality,fixed_by_ft,still_broken,0.6928776710427992,0.7149557081740316,17,9,62.0,0.45051586608854133,0.3288,0.1895424836601307,1.0,0.631050304007766
