id,model,baseline_label,best_prefix,best_prefix_label,n_prefixes_tested,n_prefixes_fixed,outcome,category,curvature_score,oppositeness_score,density,centrality
v5_ambiguous_0001,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,5.960464477539064e-08,0.4508115,2.0282297,0.7250496
v5_ambiguous_0002,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.5731041431427002,0.50070465,2.3288462,0.60865027
v5_ambiguous_0003,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.6191680133342743,0.58854866,2.5436323,0.6291196
v5_ambiguous_0004,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.4938249588012695,0.52438873,2.1841402,0.6166783
v5_ambiguous_0005,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0841984152793884,0.48874855,2.618219,0.62854373
v5_ambiguous_0006,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0,0.51480794,2.2689254,0.70627725
v5_ambiguous_0007,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,-1.1920928955078125e-07,0.53527415,2.1108003,0.69554883
v5_ambiguous_0008,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.3905267119407654,0.5485468,2.2323565,0.5561246
v5_ambiguous_0009,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.7824097573757172,0.5906201,2.437556,0.7314966
v5_ambiguous_0010,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,5.960464477539064e-08,0.44101435,1.879424,0.6462002
v5_ambiguous_0011,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.3436890840530395,0.51331127,2.4376824,0.6403057
v5_ambiguous_0012,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.1344903707504272,0.5303751,2.2129915,0.6581882
v5_ambiguous_0013,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,1.1920928955078125e-07,0.43586725,2.321328,0.64289826
v5_ambiguous_0014,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.595039576292038,0.50776654,2.3779657,0.6424444
v5_ambiguous_0015,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.7523236870765686,0.49019182,1.8986464,0.7203912
v5_ambiguous_0016,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.7786960303783417,0.50134563,2.1866117,0.6054154
v5_ambiguous_0017,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.8168146014213562,0.52471447,2.5241497,0.6068728
v5_ambiguous_0018,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.4991307258605957,0.48918718,2.2309883,0.73831713
v5_ambiguous_0019,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.3490257263183594,0.5073497,1.8140001,0.66117024
v5_ambiguous_0020,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.6083578169345856,0.533793,3.420984,0.6616168
v5_ambiguous_0021,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.2009980678558349,0.50835717,2.28958,0.595525
v5_ambiguous_0022,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0,0.5762702,2.3573284,0.62558794
v5_ambiguous_0023,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.532338559627533,0.5304104,1.7745336,0.7435301
v5_ambiguous_0024,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0370734930038452,0.55931866,2.2627091,0.6581464
v5_ambiguous_0025,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,1.1920928955078125e-07,0.6016401,2.2023337,0.62320834
v5_ambiguous_0026,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.167402446269989,0.54267126,2.6096473,0.5284358
v5_ambiguous_0027,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.2338992357254028,0.5510603,2.38388,0.6196516
v5_ambiguous_0028,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.4397621750831604,0.4443251,1.8831044,0.62491405
v5_ambiguous_0029,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.638820081949234,0.5108931,2.3201506,0.7123717
v5_ambiguous_0030,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,5.960464477539064e-08,0.49357742,2.217852,0.6128087
v5_ambiguous_0031,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,-1.1920928955078125e-07,0.52176195,1.8832093,0.64071923
v5_ambiguous_0032,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.8653832226991653,0.50349617,2.390961,0.675852
v5_ambiguous_0033,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.4747477769851684,0.5030153,1.9080272,0.6550509
v5_ambiguous_0034,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0,0.59466875,2.2953308,0.6559632
v5_ambiguous_0035,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.0,0.5345754,2.5803578,0.68080753
v5_ambiguous_0036,mixtral-8x7b,0,epistemic_humility,0,4,4,already_correct,ambiguous,0.1552692055702209,0.5737005,2.1720726,0.64421093
v5_ambiguous_0037,mixtral-8x7b,1,epistemic_humility,0,4,4,other,ambiguous,5.960464477539064e-08,0.5144439,2.280666,0.61854464
