model,condition,v4_correct_rate,v5_correct_rate,v4_hallucination_rate,v5_hallucination_rate,v4_n,v5_n
mixtral-8x7b,baseline,0.829,0.817283950617284,0.118,0.14320987654320988,449.0,2430
mixtral-8x7b,epistemic_humility,,0.8683127572016461,,0.10246913580246914,,2430
mixtral-8x7b,fact_grounded,,0.9012345679012346,,0.07119341563786008,,2430
mixtral-8x7b,entity_aware,0.911,0.9251028806584363,0.0067,0.05226337448559671,449.0,2430
mixtral-8x7b,structured_caution,0.911,0.8975308641975308,0.0089,0.0757201646090535,449.0,2430
mixtral-8x7b,cot_verification,,0.3008230452674897,,0.059670781893004114,,2430
llama-4-maverick-17b,baseline,0.906,0.8707818930041152,0.058,0.09547325102880659,449.0,2430
llama-4-maverick-17b,epistemic_humility,,0.9333333333333333,,0.04279835390946502,,2430
llama-4-maverick-17b,fact_grounded,,0.9345409633594072,,0.04487443392342528,,2429
llama-4-maverick-17b,entity_aware,0.929,0.9440329218106996,0.0067,0.04197530864197531,449.0,2430
llama-4-maverick-17b,structured_caution,0.933,0.945679012345679,0.0045,0.03621399176954732,449.0,2430
llama-4-maverick-17b,cot_verification,,0.29835390946502055,,0.016049382716049384,,2430
